NU_ANO,TP_LOCALIZACAO_ESC,Q006,SG_UF_PROVA,QTD
2019,1.0,A,AC,356
2019,1.0,A,AL,1541
2019,1.0,A,AM,1735
2019,1.0,A,AP,362
2019,1.0,A,BA,5601
2019,1.0,A,CE,8045
2019,1.0,A,DF,387
2019,1.0,A,ES,621
2019,1.0,A,GO,662
2019,1.0,A,MA,4685
2019,1.0,A,MG,2386
2019,1.0,A,MS,218
2019,1.0,A,MT,243
2019,1.0,A,PA,3370
2019,1.0,A,PB,2386
2019,1.0,A,PE,4724
2019,1.0,A,PI,2976
2019,1.0,A,PR,569
2019,1.0,A,RJ,2173
2019,1.0,A,RN,1325
2019,1.0,A,RO,353
2019,1.0,A,RR,80
2019,1.0,A,RS,626
2019,1.0,A,SC,249
2019,1.0,A,SE,1215
2019,1.0,A,SP,3365
2019,1.0,A,TO,434
2019,1.0,B,AC,2004
2019,1.0,B,AL,7375
2019,1.0,B,AM,9127
2019,1.0,B,AP,2328
2019,1.0,B,BA,27411
2019,1.0,B,CE,54866
2019,1.0,B,DF,2746
2019,1.0,B,ES,4883
2019,1.0,B,GO,6672
2019,1.0,B,MA,18833
2019,1.0,B,MG,20766
2019,1.0,B,MS,2513
2019,1.0,B,MT,2589
2019,1.0,B,PA,18929
2019,1.0,B,PB,11942
2019,1.0,B,PE,26443
2019,1.0,B,PI,10760
2019,1.0,B,PR,4429
2019,1.0,B,RJ,13376
2019,1.0,B,RN,8028
2019,1.0,B,RO,2795
2019,1.0,B,RR,570
2019,1.0,B,RS,5299
2019,1.0,B,SC,2024
2019,1.0,B,SE,5835
2019,1.0,B,SP,20649
2019,1.0,B,TO,2740
2019,1.0,C,AC,1261
2019,1.0,C,AL,3905
2019,1.0,C,AM,7390
2019,1.0,C,AP,1555
2019,1.0,C,BA,16153
2019,1.0,C,CE,28697
2019,1.0,C,DF,4755
2019,1.0,C,ES,6963
2019,1.0,C,GO,10721
2019,1.0,C,MA,9632
2019,1.0,C,MG,28350
2019,1.0,C,MS,4194
2019,1.0,C,MT,4582
2019,1.0,C,PA,11610
2019,1.0,C,PB,6145
2019,1.0,C,PE,14308
2019,1.0,C,PI,4723
2019,1.0,C,PR,11599
2019,1.0,C,RJ,19187
2019,1.0,C,RN,4629
2019,1.0,C,RO,3705
2019,1.0,C,RR,601
2019,1.0,C,RS,10384
2019,1.0,C,SC,6162
2019,1.0,C,SE,3123
2019,1.0,C,SP,51552
2019,1.0,C,TO,2357
2019,1.0,C,AC,324
2019,1.0,C,AL,828
2019,1.0,C,AM,1550
2019,1.0,C,AP,319
2019,1.0,C,BA,4134
2019,1.0,C,CE,3553
2019,1.0,C,DF,1823
2019,1.0,C,ES,2502
2019,1.0,C,GO,3754
2019,1.0,C,MA,1851
2019,1.0,C,MG,10745
2019,1.0,C,MS,1650
2019,1.0,C,MT,1838
2019,1.0,C,PA,2611
2019,1.0,C,PB,1274
2019,1.0,C,PE,3333
2019,1.0,C,PI,1121
2019,1.0,C,PR,5911
2019,1.0,C,RJ,7139
2019,1.0,C,RN,1397
2019,1.0,C,RO,1018
2019,1.0,C,RR,148
2019,1.0,C,RS,4932
2019,1.0,C,SC,3701
